uid,name
0
1
2
3
4
5
6
7
8
9
10
13
33
34
38
39
41
65534
nobody,nobody
100
101
102
103
104
105
106
107
108
109
110
111
112
113
114
115
116
117
118
119
1000
999
120
121
122
64055
libvirt-qemu,Libvirt Qemu,,,
123
124
1001
feliciats,feliciats,,,
125
524288
snapd-range-524288-root,
584788
snap_daemon,
